z,dL
0.5410200000000001,3046.6269871346917
0.5443600000000001,3069.7303635863
0.5477,3092.8763941152138
0.55104,3116.0649184052413
0.55438,3139.295776737444
0.5577200000000001,3162.568809990121
0.56106,3185.8838596387604
0.5644,3209.2407677559504
0.56774,3232.6393770112545
0.5710799999999999,3256.079530671044
0.5744199999999999,3279.561072598299
0.57776,3303.0838472523733
0.5811000000000001,3326.6476996887177
0.58444,3350.2524755585746
0.58778,3373.898021108635
0.59112,3397.584183180662
0.59446,3421.310809211078
0.5978,3445.0777472305213
0.60114,3468.884845863371
0.60448,3492.7319543272365
0.6078199999999999,3516.6189224324157
0.61116,3540.5456005813217
0.6145,3564.511839767887
0.61784,3588.517491576919
0.62118,3612.562408183444
0.62452,3636.646442352013
0.6278600000000001,3660.769447435979
0.6312,3684.931277376747
0.63454,3709.1317867029957
0.63788,3733.3708305298715
0.64122,3757.6482645581577
0.64456,3781.963945073411
0.6479,3806.317728945079
0.65124,3830.709473625587
0.6545799999999999,3855.1390371494044
0.65792,3879.606278132075
0.6612600000000001,3904.111055769242
0.6646000000000001,3928.653229835629
0.66794,3953.2326606840106
0.67128,3977.849209244153
0.67462,4002.502737021739
0.6779599999999999,4027.1931060972615
0.6813,4051.920179124902
0.68464,4076.6838193313856
0.68798,4101.4838905148135
0.6913199999999999,4126.3202570434805
0.6946599999999999,4151.19278385466
0.6980000000000001,4176.1013364533865
0.70134,4201.0457809112
0.70468,4226.025983864892
0.70802,4251.041812515208
0.71136,4276.093134625558
0.7147,4301.179818520688
0.71804,4326.3017330853445
0.72138,4351.458747762923
0.72472,4376.650732554091
0.7280599999999999,4401.877558015404
0.7314,4427.139095257901
0.7347400000000001,4452.435215945683
0.73808,4477.765792294481
0.74142,4503.130697070201
0.74476,4528.529803587466
0.7481000000000001,4553.962985708133
0.75144,4579.430117839802
0.75478,4604.931074934307
0.75812,4630.465732486198
0.7614599999999999,4656.033966531212
0.7648,4681.63565364472
0.76814,4707.270670940178
0.77148,4732.93889606755
0.77482,4758.640207211732
0.77816,4784.37448309096
0.7815,4810.141602955203
0.78484,4835.941446584549
0.78818,4861.773894287586
0.79152,4887.638826899759
0.79486,4913.536125781731
0.7981999999999999,4939.465672817728
0.80154,4965.427350413877
0.80488,4991.421041496529
0.8082199999999999,5017.446629510583
0.81156,5043.503998417793
0.8149,5069.593032695073
0.8182400000000001,5095.713617332791
0.82158,5121.865637833053
0.82492,5148.048980207988
0.82826,5174.263530978019
0.8315999999999999,5200.50917717012
0.83494,5226.78580631609
0.83828,5253.093306450796
0.84162,5279.43156611042
0.8449599999999999,5305.800474330702
0.8482999999999999,5332.199920645176
0.8516400000000001,5358.6297950834
0.8549800000000001,5385.089988169176
0.85832,5411.580390918777
0.86166,5438.100894839155
0.865,5464.651391926159
0.8683399999999999,5491.231774662735
0.87168,5517.841936017129
0.87502,5544.481769441094
0.87836,5571.151168868072
0.8816999999999999,5597.850028711394
0.8850399999999999,5624.578243862468
0.8883800000000001,5651.335709688962
0.89172,5678.122322032987
0.89506,5704.937977209275
0.8984,5731.782572003368
0.90174,5758.656003669776
0.90508,5785.558169930158
0.90842,5812.488968971502
0.91176,5839.448299444281
0.9150999999999999,5866.43606046063
0.9184399999999999,5893.452151592507
0.92178,5920.496472869871
0.92512,5947.568924778827
0.92846,5974.66940825981
0.9318,6001.797824705733
0.93514,6028.954075960163
0.9384800000000001,6056.138064315474
0.94182,6083.349692511014
0.94516,6110.588863731262
0.9485,6137.855481604003
0.9518399999999999,6165.1494501984735
0.95518,6192.470674023537
0.95852,6219.81905802585
0.96186,6247.19450758801
0.9652,6274.596928526743
0.96854,6302.026227091049
0.9718800000000001,6329.482309960388
0.97522,6356.965084242832
0.97856,6384.474457473248
0.9819,6412.010337611459
0.98524,6439.572633040429
0.9885799999999999,6467.161252564426
0.99192,6494.776105407204
0.99526,6522.417101210185
0.9985999999999999,6550.084150030635
1.0019399999999998,6577.777162339845
1.00528,6605.496049021325
1.00862,6633.240721368983
1.01196,6661.011091085319
1.0152999999999999,6688.807070279616
1.01864,6716.62857146614
1.0219799999999999,6744.475507562331
1.02532,6772.347791887014
1.02866,6800.245338158591
1.032,6828.1680604932635
1.03534,6856.115873403228
1.03868,6884.088691794897
1.04202,6912.086430967124
1.0453599999999998,6940.109006609406
1.0487,6968.156334800123
1.05204,6996.2283320047645
1.05538,7024.324915074149
1.05872,7052.446001242678
1.06206,7080.59150812656
1.0654,7108.761353722058
1.06874,7136.955456403744
1.07208,7165.173734922738
1.0754199999999998,7193.416108404969
1.07876,7221.682496349446
