z,H
0.6779599999999999,100.45885418841262
0.6813,100.6386391023665
0.68464,100.81881723972184
0.68798,100.99938791164335
0.6913199999999999,101.1803504296398
0.6946599999999999,101.36170410558795
0.6980000000000001,101.54344825175549
0.70134,101.7255821808242
0.70468,101.90810520591248
0.70802,102.09101664059766
0.71136,102.27431579893803
0.7147,102.4580019954945
0.71804,102.64207454535202
0.72138,102.82653276414061
0.72472,103.01137596805623
0.7280599999999999,103.19660347388107
0.7314,103.38221459900397
0.7347400000000001,103.56820866144017
0.73808,103.75458497985086
0.74142,103.94134287356259
0.74476,104.12848166258621
0.7481000000000001,104.31600066763569
0.75144,104.50389921014641
0.75478,104.6921766122935
0.75812,104.88083219700954
0.7614599999999999,105.06986528800235
0.7648,105.25927520977217
0.76814,105.44906128762882
